Today's Date:	04 October 2023	Date of Test:	2 October 2023, 07:22:35 AM
Filename:	AZ_U04_TMAX_DLongTestAnogh	Tester Channel:	2
Procedure:	AZ_MAXELL-465_LongTest.000	Description:	AZ_SOC with Impedance Test
MB_ImpedanceCheck
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.76974	R	0	10/02/2023 7:22:35 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.76989	R	129	10/02/2023 7:23:35 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0	  0d 00:00:0	0.00000	0.00000	0.00050	3.76547	P	129	10/02/2023 7:23:35 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	5	  0d 00:01:0.0399999991059303	  0d 00:00:0.0399999991059303	0.00000	0.00000	0.00050	3.76547	D	0	10/02/2023 7:23:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	5	  0d 00:02:0.0399999991059303	  0d 00:01:0.0399999991059303	0.00001	0.00003	0.00050	3.76219	D	1	10/02/2023 7:24:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	5	  0d 00:03:0.0399999991059303	  0d 00:02:0.0399999991059303	0.00002	0.00006	0.00050	3.76135	D	1	10/02/2023 7:25:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	5	  0d 00:04:0.0399999991059303	  0d 00:03:0.0399999991059303	0.00003	0.00009	0.00050	3.76074	D	1	10/02/2023 7:26:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	5	  0d 00:05:0.0399999991059303	  0d 00:04:0.0399999991059303	0.00003	0.00013	0.00050	3.76005	D	1	10/02/2023 7:27:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	5	  0d 00:06:0.0399999991059303	  0d 00:05:0.0399999991059303	0.00004	0.00016	0.00050	3.75959	D	1	10/02/2023 7:28:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	5	  0d 00:07:0.0399999991059303	  0d 00:06:0.0399999991059303	0.00005	0.00019	0.00050	3.75914	D	1	10/02/2023 7:29:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	5	  0d 00:08:0.0399999991059303	  0d 00:07:0.0399999991059303	0.00006	0.00022	0.00050	3.75883	D	1	10/02/2023 7:30:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	5	  0d 00:09:0.0399999991059303	  0d 00:08:0.0399999991059303	0.00007	0.00025	0.00050	3.75853	D	1	10/02/2023 7:31:36 AM	2.00464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
